MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000007217269529,FER Gen2 E2G 100 R1
000000009638385001,iSV Cobas MS Cal 1 w/o value
000000009489452001,TNT Gen6 Elecsys Cal 2
000000005939283001,CA 125 Elecsys CalCheck F1
000000005089654001,TSH Gen2 Elecsys CalCheck F5
000000006863825001,AMH Elecsys Ctr 1
000000008860106001,FREE HCGB Elecsys R2 V2
000000007233973529,TOXO IGM E2G 300 R1
000000007230176001,<HCV> Gen2 E2G 300 R2
000000008328943001,HCV Duo M1 E2G 300 R1
000000009699686001,Anti-AAVrh74 Elecsys Cal 2
000000007231849001,PROL Gen2.1 E2G 100 R1
000000009049452001,<HCV> Gen2 E2G 300 R2 V2
000000012015668001,PTH Elecsys R1
000000005860229001,LH Elecsys CalCheck F4
000000005022541001,<CCP> Elecsys CalCheck F2 low
000000009191283529,PRO-C3 Elecsys CalCheck F4
000000005022193001,<CCP> Elecsys R1
000000007650515001,PCCC2 bottle w/o. values for OEM
000000009351434001,SARS-CoV-2 Ag Elecsys Ctr 1
000000009593870001,iTDM-A cobas MS Ctr 1 w/o value
000000007230966001,<HAV>IGM E2G 300 R1
000000008132836001,IGFBP-3 Elecsys Cal 1
000000012137127001,Elecsys CA 19-9 R1
000000011753568001,TBK Elecsys V-low
000000004681274001,PROL Gen2 Elecsys Cal 2
000000010583398001,iTDM-A MPA cobas MS LeadCal F4 w/o value
000000009129995001,Vit.D total Gen3 Elecsys CC F4
000000008143765001,PIVKA-II Elecsys R2
000000007403259529,TOXO Avidity E2G 100 Diluent
000000008341672529,IGFBP-7 Elecsys R2
000000008014469001,<HAV> Gen2.2 E2G 300 R1
000000009535098001,IFNg Elecsys CalCheck F5
000000007230796529,CYFRA E2G 300 R1
000000006526551001,TG Gen2 Elecsys R1
000000005573971001,PTH (1-84) Elecsys CalCheck F3
000000009411275001,Cort Gen3 Elecsys R2
000000009721576001,HIV Duo Gen2 M1 E2G 100 R2
